endTime,artistName,trackName,msPlayed
2021-11-01 15:06,Tom Segura,Small Talk,234290
2021-11-01 15:09,Tom Segura,Leave It In,145079
2021-11-01 15:13,Tom Segura,One Day,252259
2021-11-01 15:14,Tom Segura,God Is Watching,95133
2021-11-01 15:20,Tom Segura,Some People Suck,356241
2021-11-01 15:26,Tom Segura,Life Is Long,362790
2021-11-01 15:28,Tom Segura,Piercings,108713
2021-11-01 15:39,Tom Segura,What's He Driving,65110
2021-11-01 15:46,Tom Segura,Beef,144600
2021-11-01 15:49,Tom Segura,Exactly,128872
2021-11-01 15:50,Tom Segura,God Don't Make No Junk,94444
2021-11-01 15:54,Tom Segura,Red Eye,171362
2021-11-01 15:56,Tom Segura,They're People,100265
2021-11-01 15:58,Tom Segura,Emergency,148122
2021-11-01 16:04,Tom Segura,BIKES!,323548
2021-11-01 16:07,Tom Segura,The Key to His Heart,200343
2021-11-01 16:09,Tom Segura,I Yell at It,113639
2021-11-01 16:14,Tom Segura,Every Race,306672
2021-11-01 16:25,Tom Segura,Rumors,11274
2021-11-02 07:56,Tom Segura,Rumors,303241
2021-11-02 07:58,Tom Segura,My Dad Told Me,116263
2021-11-02 08:06,Tom Segura,Mike Tyson,485657
2021-11-02 08:09,Tom Segura,My Latest (Bonus Track),171550
2021-11-02 08:13,Tom Segura,Tyson vs. Segura II (Bonus Track),251645
2021-11-02 08:16,Tom Segura,Intro,29706
2021-11-02 08:19,Tom Segura,Hobby,150606
2021-11-02 08:20,Tom Segura,Entitlement,75652
2021-11-02 08:21,Tom Segura,Travel Advice,61141
2021-11-02 08:27,Tom Segura,First 48,344629
2021-11-02 08:28,Tom Segura,Shouting Black,113221
2021-11-02 08:29,Tom Segura,Are People the Same?,22506
2021-11-02 08:33,Tom Segura,No Change,222216
2021-11-02 08:33,Tom Segura,I Sit,46719
2021-11-02 08:39,Tom Segura,Seagal,347418
2021-11-02 08:42,Tom Segura,Sorry,150048
2021-11-02 08:43,Tom Segura,Catastrophic,96596
2021-11-02 08:44,Tom Segura,You Win,41379
2021-11-02 08:46,Tom Segura,Dr. Dick,143201
2021-11-02 08:59,Tom Segura,Dr. Dick,184319
2021-11-02 09:00,Tom Segura,A Good Death,68352
2021-11-02 09:01,Tom Segura,Cali's Crazy,40125
2021-11-02 09:02,Tom Segura,Professional,62416
2021-11-02 09:03,Tom Segura,D R Period,46261
2021-11-02 16:35,Powers Pleasant,"Evil Twin (with Denzel Curry, Zillakami)",132666
2021-11-02 16:36,Powers Pleasant,"Evil Twin (with Denzel Curry, Zillakami)",46283
2021-11-02 16:37,Powers Pleasant,"Evil Twin (with Denzel Curry, Zillakami)",23738
2021-11-02 16:39,ZillaKami,Chewing Gum!,121627
2021-11-02 16:42,ZillaKami,CHAINS,173018
2021-11-02 16:44,ZillaKami,Lemon Juice,116472
2021-11-02 16:46,ZillaKami,Not Worth It,106892
2021-11-02 16:48,ZillaKami,Hello,148330
2021-11-02 16:50,ZillaKami,Bleach (feat. Denzel Curry),150000
2021-11-02 16:52,ZillaKami,631 MAKES ME,68157
2021-11-02 16:54,ZillaKami,IHY,128397
2021-11-02 16:57,ZillaKami,BADASS (with Lil Uzi Vert),186217
2021-11-02 16:58,ZillaKami,Tactical Nuke Interlude,46812
2021-11-02 16:59,ZillaKami,Nissan Only,108140
2021-11-02 17:02,ZillaKami,Black Cats,99226
2021-11-02 17:16,ZillaKami,dedgrl,561
2021-11-03 15:26,ZillaKami,dedgrl,15872
2021-11-03 15:29,ZillaKami,Space Cowboy,143918
2021-11-03 15:31,ZillaKami,Bleach (feat. Denzel Curry),150000
2021-11-03 15:33,ZillaKami,Not Worth It,106892
2021-11-03 15:36,City Morgue,DRAINO (feat. Denzel Curry),202613
2021-11-03 15:39,ZillaKami,Hello,148330
