endTime,artistName,trackName,msPlayed,dayOfWeek
2021-11-01 15:06:00,Tom Segura,Small Talk,234290,Monday
2021-11-01 15:09:00,Tom Segura,Leave It In,145079,Monday
2021-11-01 15:13:00,Tom Segura,One Day,252259,Monday
2021-11-01 15:14:00,Tom Segura,God Is Watching,95133,Monday
2021-11-01 15:20:00,Tom Segura,Some People Suck,356241,Monday
2021-11-01 15:26:00,Tom Segura,Life Is Long,362790,Monday
2021-11-01 15:28:00,Tom Segura,Piercings,108713,Monday
2021-11-01 15:39:00,Tom Segura,What's He Driving,65110,Monday
2021-11-01 15:46:00,Tom Segura,Beef,144600,Monday
2021-11-01 15:49:00,Tom Segura,Exactly,128872,Monday
2021-11-01 15:50:00,Tom Segura,God Don't Make No Junk,94444,Monday
2021-11-01 15:54:00,Tom Segura,Red Eye,171362,Monday
2021-11-01 15:56:00,Tom Segura,They're People,100265,Monday
2021-11-01 15:58:00,Tom Segura,Emergency,148122,Monday
2021-11-01 16:04:00,Tom Segura,BIKES!,323548,Monday
2021-11-01 16:07:00,Tom Segura,The Key to His Heart,200343,Monday
2021-11-01 16:09:00,Tom Segura,I Yell at It,113639,Monday
2021-11-01 16:14:00,Tom Segura,Every Race,306672,Monday
2021-11-01 16:25:00,Tom Segura,Rumors,11274,Monday
2021-11-02 07:56:00,Tom Segura,Rumors,303241,Tuesday
2021-11-02 07:58:00,Tom Segura,My Dad Told Me,116263,Tuesday
2021-11-02 08:06:00,Tom Segura,Mike Tyson,485657,Tuesday
2021-11-02 08:09:00,Tom Segura,My Latest (Bonus Track),171550,Tuesday
2021-11-02 08:13:00,Tom Segura,Tyson vs. Segura II (Bonus Track),251645,Tuesday
2021-11-02 08:16:00,Tom Segura,Intro,29706,Tuesday
2021-11-02 08:19:00,Tom Segura,Hobby,150606,Tuesday
2021-11-02 08:20:00,Tom Segura,Entitlement,75652,Tuesday
2021-11-02 08:21:00,Tom Segura,Travel Advice,61141,Tuesday
2021-11-02 08:27:00,Tom Segura,First 48,344629,Tuesday
2021-11-02 08:28:00,Tom Segura,Shouting Black,113221,Tuesday
2021-11-02 08:29:00,Tom Segura,Are People the Same?,22506,Tuesday
2021-11-02 08:33:00,Tom Segura,No Change,222216,Tuesday
2021-11-02 08:33:00,Tom Segura,I Sit,46719,Tuesday
2021-11-02 08:39:00,Tom Segura,Seagal,347418,Tuesday
2021-11-02 08:42:00,Tom Segura,Sorry,150048,Tuesday
2021-11-02 08:43:00,Tom Segura,Catastrophic,96596,Tuesday
2021-11-02 08:44:00,Tom Segura,You Win,41379,Tuesday
2021-11-02 08:46:00,Tom Segura,Dr. Dick,143201,Tuesday
2021-11-02 08:59:00,Tom Segura,Dr. Dick,184319,Tuesday
2021-11-02 09:00:00,Tom Segura,A Good Death,68352,Tuesday
2021-11-02 09:01:00,Tom Segura,Cali's Crazy,40125,Tuesday
2021-11-02 09:02:00,Tom Segura,Professional,62416,Tuesday
2021-11-02 09:03:00,Tom Segura,D R Period,46261,Tuesday
2021-11-02 16:35:00,Powers Pleasant,"Evil Twin (with Denzel Curry, Zillakami)",132666,Tuesday
2021-11-02 16:36:00,Powers Pleasant,"Evil Twin (with Denzel Curry, Zillakami)",46283,Tuesday
2021-11-02 16:37:00,Powers Pleasant,"Evil Twin (with Denzel Curry, Zillakami)",23738,Tuesday
2021-11-02 16:39:00,ZillaKami,Chewing Gum!,121627,Tuesday
2021-11-02 16:42:00,ZillaKami,CHAINS,173018,Tuesday
2021-11-02 16:44:00,ZillaKami,Lemon Juice,116472,Tuesday
2021-11-02 16:46:00,ZillaKami,Not Worth It,106892,Tuesday
2021-11-02 16:48:00,ZillaKami,Hello,148330,Tuesday
